http,www,2,238,119
et,al,1,100,100
for,example,1,96,96
likely,to,1,80,80
the,fourth,1,75,75
available,at,1,74,74
is,not,1,74,74
n,y,1,73,73
the,information,1,64,64
of,these,1,63,63
a,suspect,1,60,60
of,law,1,59,59
an,officer,1,45,45
civil,rights,1,45,45
more,likely,1,45,45
stop,and,1,45,45
may,be,1,44,44
the,officer,1,43,43
into,the,1,41,41
access,to,1,40,40
and,other,1,39,39
police,departments,1,38,38
are,more,1,37,37
u,s,9,322,35.77777778
community,policing,4,139,34.75
working,with,1,34,34
enforcement,to,1,33,33
in,their,1,33,33
of,homeland,1,33,33
social,media,1,32,32
fbi,gov,1,31,31
information,is,1,31,31
a,high,1,30,30
federal,government,1,30,30
focus,on,1,30,30
suspect,s,1,30,30
that,is,1,30,30
to,law,1,30,30
rather,than,1,29,29
to,predict,1,29,29
amount,of,1,28,28
that,a,2,56,28
and,local,1,27,27
law,enforcement,18,480,26.66666667
muslim,community,1,26,26
not,be,1,26,26
to,prevent,1,26,26
at,least,1,25,25
information,that,1,25,25
not,to,1,25,25
the,most,1,25,25
www,fbi,1,25,25
a,person,2,48,24
court,records,1,24,24
level,of,1,23,23
of,police,2,46,23
the,s,1,23,23
white,house,1,23,23
many,of,1,22,22
of,people,1,22,22
the,high,1,22,22
approach,to,1,21,21
because,they,1,21,21
can,be,4,84,21
order,to,1,21,21
the,court,2,42,21
the,people,1,21,21
and,social,1,20,20
in,order,1,20,20
into,a,1,20,20
the,idea,1,20,20
the,white,1,20,20
there,is,3,58,19.33333333
are,not,2,38,19
it,has,1,19,19
nytimes,com,1,19,19
involved,in,2,37,18.5
used,to,2,37,18.5
a,gang,1,18,18
create,a,1,18,18
data,and,1,18,18
homeland,security,2,36,18
need,to,1,18,18
way,to,1,18,18
within,the,1,18,18
a,criminal,2,35,17.5
in,which,2,34,17
is,to,2,34,17
nature,of,1,17,17
officers,to,1,17,17
participate,in,1,17,17
the,muslim,1,17,17
to,perform,1,17,17
using,the,1,17,17
who,are,1,17,17
act,of,1,16,16
as,one,1,16,16
community,and,1,16,16
data,in,1,16,16
has,the,1,16,16
in,some,1,16,16
license,plate,1,16,16
of,american,1,16,16
of,those,1,16,16
set,of,1,16,16
the,amount,1,16,16
the,more,1,16,16
the,national,2,32,16
the,process,1,16,16
to,see,1,16,16
to,take,1,16,16
of,justice,3,47,15.66666667
to,be,11,166,15.09090909
a,times,1,15,15
and,crime,1,15,15
history,of,1,15,15
in,part,1,15,15
information,to,2,30,15
state,and,2,30,15
that,the,10,148,14.8
a,police,3,44,14.66666667
enforcement,agencies,4,57,14.25
because,the,2,28,14
for,their,1,14,14
human,rights,1,14,14
on,their,1,14,14
special,agent,1,14,14
the,power,1,14,14
the,use,2,28,14
there,are,3,42,14
we,have,1,14,14
what,we,1,14,14
while,the,1,14,14
www,nytimes,1,14,14
because,of,2,27,13.5
as,the,5,67,13.4
this,article,3,40,13.33333333
of,this,4,53,13.25
they,are,4,53,13.25
for,a,5,66,13.2
and,are,1,13,13
but,also,1,13,13
by,police,2,26,13
crime,is,1,13,13
federal,state,1,13,13
is,more,1,13,13
it,would,1,13,13
known,as,1,13,13
on,law,1,13,13
police,officer,3,39,13
terms,of,1,13,13
the,current,1,13,13
the,local,1,13,13
the,need,1,13,13
to,know,1,13,13
york,police,1,13,13
united,states,11,138,12.54545455
before,the,2,25,12.5
religious,and,2,25,12.5
young,people,4,50,12.5
a,heightened,1,12,12
crime,data,1,12,12
difficult,to,1,12,12
enforcement,officials,1,12,12
for,community,1,12,12
levels,of,1,12,12
not,only,2,24,12
nypd,s,1,12,12
of,how,1,12,12
of,such,1,12,12
on,how,1,12,12
police,can,1,12,12
policing,in,2,24,12
record,of,1,12,12
such,as,6,72,12
the,latest,1,12,12
university,of,1,12,12
use,the,1,12,12
at,a,8,92,11.5
new,york,8,91,11.375
and,the,25,282,11.28
it,is,8,90,11.25
the,federal,4,45,11.25
a,few,1,11,11
african,americans,1,11,11
appear,to,1,11,11
are,in,1,11,11
available,to,1,11,11
behavior,and,1,11,11
between,police,1,11,11
community,leaders,1,11,11
for,more,1,11,11
list,of,1,11,11
police,in,1,11,11
that,information,1,11,11
the,database,1,11,11
the,internet,1,11,11
the,law,4,44,11
the,problem,1,11,11
their,own,1,11,11
to,participate,1,11,11
about,a,3,32,10.66666667
to,commit,2,21,10.5
to,use,2,21,10.5
the,fbi,13,135,10.38461538
of,their,4,41,10.25
the,suspect,6,61,10.16666667
a,wide,1,10,10
about,how,1,10,10
cannot,be,1,10,10
cell,phone,1,10,10
com,news,2,20,10
com,us,1,10,10
in,any,1,10,10
in,particular,1,10,10
in,police,1,10,10
last,week,1,10,10
leads,to,1,10,10
may,also,1,10,10
not,have,1,10,10
of,being,1,10,10
of,new,1,10,10
other,words,1,10,10
quality,of,1,10,10
question,of,1,10,10
see,the,1,10,10
that,of,1,10,10
the,statistical,1,10,10
to,avoid,1,10,10
to,search,1,10,10
value,of,1,10,10
was,a,1,10,10
when,it,1,10,10
who,is,1,10,10
police,and,4,39,9.75
and,to,3,29,9.666666667
in,community,2,19,9.5
individual,s,2,19,9.5
information,about,8,76,9.5
lead,to,2,19,9.5
people,in,2,19,9.5
to,establish,2,19,9.5
in,this,3,28,9.333333333
an,unknown,1,9,9
are,under,1,9,9
attempt,to,1,9,9
away,from,1,9,9
be,more,1,9,9
chicago,police,1,9,9
data,on,2,18,9
does,not,5,45,9
dozens,of,1,9,9
enforcement,in,1,9,9
enforcement,is,1,9,9
era,of,1,9,9
focusing,on,1,9,9
how,to,2,18,9
is,also,2,18,9
its,own,1,9,9
millions,of,1,9,9
on,an,1,9,9
on,community,1,9,9
on,this,1,9,9
police,are,1,9,9
right,to,1,9,9
rise,to,1,9,9
s,most,1,9,9
signs,of,1,9,9
suspect,and,1,9,9
the,agency,1,9,9
the,problems,1,9,9
to,provide,2,18,9
who,were,1,9,9
would,be,3,27,9
by,a,3,26,8.666666667
information,on,3,26,8.666666667
that,it,3,26,8.666666667
led,to,2,17,8.5
that,there,2,17,8.5
the,united,7,59,8.428571429
and,in,3,25,8.333333333
office,of,3,25,8.333333333
when,the,3,25,8.333333333
a,gun,1,8,8
a,time,1,8,8
a,two,1,8,8
a,violent,1,8,8
absence,of,1,8,8
after,the,2,16,8
also,be,1,8,8
and,information,1,8,8
and,more,2,16,8
argues,that,1,8,8
as,much,1,8,8
as,possible,1,8,8
came,to,1,8,8
could,not,1,8,8
crimes,in,1,8,8
fbi,and,1,8,8
for,sex,1,8,8
gang,members,3,24,8
government,and,1,8,8
hot,spots,1,8,8
in,new,2,16,8
in,other,2,16,8
interest,in,1,8,8
investigations,and,1,8,8
live,in,1,8,8
most,of,1,8,8
of,age,1,8,8
of,an,4,32,8
of,political,1,8,8
sept,at,1,8,8
share,information,1,8,8
that,police,2,16,8
the,absence,1,8,8
the,past,2,16,8
the,school,1,8,8
their,lives,1,8,8
to,reduce,2,16,8
violence,in,1,8,8
we,must,1,8,8
when,a,2,16,8
able,to,4,31,7.75
a,community,3,23,7.666666667
the,world,3,23,7.666666667
to,police,3,23,7.666666667
a,neighborhood,2,15,7.5
be,a,4,30,7.5
in,our,2,15,7.5
part,of,6,45,7.5
those,who,3,22,7.333333333
to,make,3,22,7.333333333
as,a,23,164,7.130434783
a,crime,6,42,7
activity,and,1,7,7
analysis,of,2,14,7
area,and,1,7,7
area,is,1,7,7
at,this,1,7,7
be,made,1,7,7
belief,that,1,7,7
but,not,1,7,7
committed,by,1,7,7
community,based,1,7,7
contribute,to,1,7,7
crime,to,1,7,7
errors,in,1,7,7
evidence,that,1,7,7
for,any,1,7,7
important,to,1,7,7
in,place,2,14,7
information,from,1,7,7
involving,a,1,7,7
looking,for,1,7,7
make,a,1,7,7
of,any,1,7,7
of,black,1,7,7
of,religious,1,7,7
of,state,1,7,7
period,of,1,7,7
police,community,1,7,7
program,to,1,7,7
solely,on,1,7,7
that,could,1,7,7
that,crime,1,7,7
the,chicago,1,7,7
the,entire,1,7,7
the,late,1,7,7
the,nature,1,7,7
the,privacy,1,7,7
the,university,1,7,7
to,arrest,1,7,7
to,more,1,7,7
to,policing,1,7,7
was,involved,1,7,7
were,not,1,7,7
will,help,1,7,7
young,man,1,7,7
the,same,11,76,6.909090909
is,a,14,96,6.857142857
the,police,16,108,6.75
the,u,4,27,6.75
response,to,3,20,6.666666667
a,city,2,13,6.5
but,it,2,13,6.5
much,of,2,13,6.5
of,life,2,13,6.5
or,the,2,13,6.5
police,officers,8,52,6.5
same,time,2,13,6.5
throughout,the,2,13,6.5
that,they,5,32,6.4
the,nypd,5,32,6.4
be,able,3,19,6.333333333
was,not,3,19,6.333333333
as,an,4,25,6.25
from,the,16,98,6.125
of,the,90,541,6.011111111
a,long,1,6,6
a,program,1,6,6
a,third,1,6,6
and,federal,1,6,6
and,security,1,6,6
and,violent,2,12,6
attacks,in,1,6,6
attorney,for,1,6,6
bay,area,1,6,6
being,used,1,6,6
commit,crimes,2,12,6
community,members,2,12,6
contributed,to,1,6,6
crime,the,1,6,6
for,all,1,6,6
for,certain,1,6,6
friends,and,1,6,6
him,to,1,6,6
hopes,to,1,6,6
hundreds,of,1,6,6
included,in,1,6,6
indicating,that,1,6,6
is,an,2,12,6
just,the,1,6,6
just,to,1,6,6
life,and,1,6,6
most,wanted,1,6,6
of,more,1,6,6
of,private,1,6,6
or,a,2,12,6
over,a,1,6,6
partnerships,and,1,6,6
police,chief,2,12,6
professor,of,1,6,6
provide,a,1,6,6
s,attorneys,1,6,6
showed,that,1,6,6
strategies,to,1,6,6
surveillance,in,1,6,6
take,place,1,6,6
that,are,2,12,6
that,has,1,6,6
that,would,2,12,6
the,house,1,6,6
the,neighborhood,1,6,6
the,other,2,12,6
the,person,2,12,6
the,post,1,6,6
the,work,1,6,6
they,would,1,6,6
time,the,1,6,6
to,city,1,6,6
to,local,1,6,6
to,them,1,6,6
trust,in,1,6,6
volume,of,1,6,6
ways,to,1,6,6
went,to,1,6,6
when,they,1,6,6
whether,they,1,6,6
with,big,1,6,6
would,have,1,6,6
you,can,1,6,6
the,new,8,47,5.875
suspicion,of,3,17,5.666666667
the,next,3,17,5.666666667
whether,the,3,17,5.666666667
in,an,8,45,5.625
on,the,37,208,5.621621622
chance,to,2,11,5.5
policing,the,2,11,5.5
s,san,2,11,5.5
the,two,2,11,5.5
thousands,of,2,11,5.5
to,find,2,11,5.5
of,crime,9,49,5.444444444
as,well,6,32,5.333333333
field,office,3,16,5.333333333
public,safety,3,16,5.333333333
that,this,3,16,5.333333333
who,was,3,16,5.333333333
and,police,4,21,5.25
well,as,4,21,5.25
with,a,12,63,5.25
under,the,5,26,5.2
a,history,1,5,5
a,local,1,5,5
a,similar,1,5,5
advantage,of,1,5,5
amid,the,1,5,5
and,cultural,1,5,5
and,for,1,5,5
and,government,1,5,5
announced,a,1,5,5
any,of,1,5,5
areas,in,1,5,5
as,being,1,5,5
be,held,1,5,5
because,he,1,5,5
before,a,1,5,5
cars,and,1,5,5
certain,crimes,1,5,5
combination,of,1,5,5
come,to,1,5,5
crime,and,8,40,5
crime,as,1,5,5
crime,will,1,5,5
d,c,2,10,5
dealing,with,1,5,5
departments,and,1,5,5
examples,of,1,5,5
expected,to,1,5,5
from,a,7,35,5
help,with,1,5,5
if,the,5,25,5
in,a,30,150,5
in,various,1,5,5
in,washington,1,5,5
information,was,1,5,5
investigation,and,1,5,5
is,important,1,5,5
is,nothing,1,5,5
islam,and,1,5,5
look,for,1,5,5
low,level,1,5,5
needs,to,2,10,5
new,police,2,10,5
not,required,1,5,5
of,california,1,5,5
of,thousands,1,5,5
officers,with,1,5,5
other,than,1,5,5
person,who,1,5,5
picture,of,1,5,5
play,a,1,5,5
police,use,1,5,5
questions,about,1,5,5
reduce,crime,1,5,5
related,to,2,10,5
requests,for,1,5,5
residents,of,1,5,5
results,in,1,5,5
s,an,1,5,5
s,new,2,10,5
said,and,1,5,5
security,the,1,5,5
so,the,1,5,5
standard,for,1,5,5
starting,a,1,5,5
suspect,in,1,5,5
take,the,1,5,5
technology,as,1,5,5
that,she,1,5,5
the,location,3,15,5
the,possibility,1,5,5
the,suspected,1,5,5
the,three,1,5,5
then,the,1,5,5
third,of,1,5,5
through,a,2,10,5
to,build,3,15,5
to,maintain,1,5,5
to,or,1,5,5
to,play,1,5,5
to,prison,1,5,5
to,what,1,5,5
up,the,1,5,5
want,to,2,10,5
was,also,1,5,5
way,of,1,5,5
when,he,1,5,5
where,the,2,10,5
is,the,9,44,4.888888889
will,be,11,53,4.818181818
about,the,13,62,4.769230769
and,that,8,38,4.75
could,be,4,19,4.75
the,community,8,38,4.75
to,an,4,19,4.75
to,support,4,19,4.75
up,to,4,19,4.75
fbi,s,6,28,4.666666667
to,collect,3,14,4.666666667
focused,on,5,23,4.6
local,law,5,23,4.6
more,than,12,55,4.583333333
of,a,33,151,4.575757576
against,the,2,9,4.5
and,gang,2,9,4.5
are,the,4,18,4.5
as,he,2,9,4.5
believe,that,2,9,4.5
crime,at,2,9,4.5
daniel,j,2,9,4.5
have,an,2,9,4.5
may,not,2,9,4.5
more,difficult,2,9,4.5
of,other,2,9,4.5
review,of,2,9,4.5
to,reveal,2,9,4.5
over,the,5,22,4.4
number,of,11,48,4.363636364
in,the,111,481,4.333333333
the,program,3,13,4.333333333
around,the,4,17,4.25
people,are,5,21,4.2
have,been,11,46,4.181818182
has,been,14,57,4.071428571
to,a,21,85,4.047619048
a,combination,1,4,4
a,family,1,4,4
a,group,1,4,4
a,much,1,4,4
a,network,1,4,4
a,period,1,4,4
a,victim,1,4,4
agents,and,1,4,4
all,of,4,16,4
all,over,1,4,4
an,additional,1,4,4
and,make,1,4,4
and,prevent,1,4,4
and,share,1,4,4
and,strategies,1,4,4
are,an,1,4,4
are,far,1,4,4
are,fearful,1,4,4
area,of,1,4,4
as,that,1,4,4
as,these,1,4,4
at,an,1,4,4
background,checks,2,8,4
based,approach,1,4,4
be,in,2,8,4
called,for,1,4,4
children,and,1,4,4
cities,are,1,4,4
community,partnerships,1,4,4
crime,prevention,1,4,4
department,of,5,20,4
early,s,1,4,4
enforcement,a,1,4,4
enforcement,authorities,1,4,4
enforcement,community,1,4,4
fearful,that,1,4,4
find,a,1,4,4
for,its,1,4,4
get,the,1,4,4
has,come,1,4,4
have,the,3,12,4
human,trafficking,1,4,4
if,we,1,4,4
in,america,3,12,4
in,many,4,16,4
in,several,1,4,4
including,those,1,4,4
intersection,of,1,4,4
is,focused,1,4,4
is,just,1,4,4
it,could,1,4,4
kinds,of,1,4,4
known,to,1,4,4
leaders,and,1,4,4
life,the,1,4,4
meet,the,1,4,4
minority,communities,1,4,4
near,the,1,4,4
needed,to,1,4,4
network,of,1,4,4
not,come,1,4,4
of,all,4,16,4
of,interest,1,4,4
of,just,1,4,4
of,order,1,4,4
of,them,2,8,4
of,violence,1,4,4
of,what,2,8,4
officers,use,1,4,4
our,community,1,4,4
partnership,with,1,4,4
people,have,1,4,4
plans,to,1,4,4
police,as,1,4,4
police,captain,1,4,4
police,had,1,4,4
police,that,1,4,4
program,that,1,4,4
reported,to,1,4,4
respect,to,1,4,4
respond,to,2,8,4
reveal,the,1,4,4
robbery,and,1,4,4
s,high,1,4,4
s,the,3,12,4
s,to,1,4,4
say,that,1,4,4
school,district,1,4,4
scrutiny,of,1,4,4
seeking,to,1,4,4
since,the,1,4,4
stages,of,1,4,4
suspects,in,1,4,4
tens,of,1,4,4
that,only,1,4,4
the,author,2,8,4
the,case,5,20,4
the,compstat,1,4,4
the,end,2,8,4
the,highest,1,4,4
the,increased,1,4,4
the,initial,1,4,4
the,threat,3,12,4
the,time,3,12,4
the,wake,1,4,4
them,and,2,8,4
they,also,1,4,4
this,month,1,4,4
this,new,1,4,4
threat,of,3,12,4
to,assist,1,4,4
to,go,1,4,4
to,hear,1,4,4
treated,as,1,4,4
up,for,1,4,4
usa,today,1,4,4
wake,of,1,4,4
which,is,4,16,4
why,the,1,4,4
will,soon,1,4,4
with,local,1,4,4
with,more,1,4,4
with,respect,1,4,4
with,state,1,4,4
at,the,32,126,3.9375
to,the,65,251,3.861538462
by,the,21,80,3.80952381
but,the,4,15,3.75
efforts,to,4,15,3.75
for,an,4,15,3.75
the,state,11,41,3.727272727
and,is,3,11,3.666666667
have,to,3,11,3.666666667
he,was,6,22,3.666666667
instead,of,3,11,3.666666667
no,longer,3,11,3.666666667
the,public,11,39,3.545454545
a,child,2,7,3.5
a,good,2,7,3.5
a,search,2,7,3.5
a,series,2,7,3.5
areas,of,2,7,3.5
council,on,2,7,3.5
each,other,2,7,3.5
far,more,2,7,3.5
gang,related,2,7,3.5
in,law,4,14,3.5
in,response,2,7,3.5
john,s,2,7,3.5
linked,to,2,7,3.5
make,it,2,7,3.5
not,know,2,7,3.5
result,of,4,14,3.5
s,a,2,7,3.5
series,of,2,7,3.5
stop,in,2,7,3.5
the,el,2,7,3.5
the,president,2,7,3.5
the,street,6,21,3.5
they,can,4,14,3.5
they,were,4,14,3.5
to,hold,2,7,3.5
to,investigate,4,14,3.5
to,this,2,7,3.5
use,of,18,63,3.5
for,the,29,97,3.344827586
and,they,3,10,3.333333333
as,to,3,10,3.333333333
had,a,3,10,3.333333333
in,addition,6,20,3.333333333
in,more,3,10,3.333333333
is,in,3,10,3.333333333
of,which,4,13,3.25
the,streets,4,13,3.25
a,result,9,29,3.222222222
they,have,5,16,3.2
on,a,16,51,3.1875
have,a,9,28,3.111111111
out,of,9,28,3.111111111
with,the,42,130,3.095238095
a,chance,2,6,3
a,degree,1,3,3
a,federal,2,6,3
a,higher,1,3,3
a,large,1,3,3
a,number,3,9,3
a,problem,1,3,3
a,public,1,3,3
a,vehicle,1,3,3
about,whether,1,3,3
accuracy,of,2,6,3
advocate,for,1,3,3
after,years,1,3,3
also,showed,1,3,3
americans,in,1,3,3
an,examination,1,3,3
an,extensive,1,3,3
an,ongoing,1,3,3
and,black,1,3,3
and,it,3,9,3
and,people,1,3,3
and,policing,1,3,3
angeles,unified,1,3,3
anger,and,1,3,3
anti,muslim,1,3,3
any,other,1,3,3
anyone,who,1,3,3
are,looking,1,3,3
are,of,1,3,3
argue,that,1,3,3
argued,that,1,3,3
at,around,1,3,3
attempting,to,1,3,3
backlash,from,1,3,3
begin,with,1,3,3
being,a,1,3,3
brian,day,1,3,3
but,a,1,3,3
but,even,1,3,3
by,local,1,3,3
by,over,1,3,3
byline,brian,1,3,3
california,april,1,3,3
can,take,1,3,3
captured,in,1,3,3
case,to,1,3,3
categories,of,1,3,3
change,the,1,3,3
city,councilman,1,3,3
claim,to,1,3,3
committed,in,1,3,3
connection,with,1,3,3
continues,to,1,3,3
crack,cocaine,1,3,3
crimes,and,3,9,3
crimes,it,1,3,3
criminal,case,1,3,3
criminal,charges,1,3,3
crisis,of,1,3,3
day,section,1,3,3
decrease,in,1,3,3
departments,across,1,3,3
did,not,9,27,3
drug,enforcement,1,3,3
drug,trafficking,2,6,3
emphasis,on,1,3,3
entered,the,1,3,3
experts,have,1,3,3
explained,that,1,3,3
family,and,1,3,3
fbi,can,1,3,3
fbi,the,1,3,3
five,years,2,6,3
following,a,1,3,3
for,crimes,1,3,3
for,those,1,3,3
from,there,1,3,3
gang,activity,1,3,3
gun,on,1,3,3
have,begun,1,3,3
have,made,1,3,3
he,believes,1,3,3
in,another,1,3,3
in,cars,1,3,3
in,connection,1,3,3
in,effect,1,3,3
in,federal,1,3,3
in,tel,1,3,3
in,violence,1,3,3
incarceration,and,1,3,3
initiative,to,1,3,3
is,arrested,1,3,3
is,available,2,6,3
is,enough,1,3,3
is,greater,1,3,3
is,so,1,3,3
is,very,1,3,3
it,came,1,3,3
its,crime,1,3,3
just,a,1,3,3
know,about,1,3,3
lapdonline,org,1,3,3
last,decade,1,3,3
launched,a,1,3,3
learn,from,1,3,3
like,a,1,3,3
like,other,1,3,3
limitations,on,1,3,3
location,in,1,3,3
looking,at,1,3,3
make,up,1,3,3
man,in,1,3,3
money,laundering,2,6,3
month,s,1,3,3
neighborhoods,has,1,3,3
none,of,1,3,3
of,chicago,1,3,3
of,domestic,2,6,3
of,individual,1,3,3
of,local,1,3,3
of,persons,1,3,3
of,three,1,3,3
officials,are,1,3,3
officials,to,1,3,3
on,am,1,3,3
on,more,1,3,3
on,public,1,3,3
on,to,1,3,3
or,any,1,3,3
or,may,1,3,3
outside,the,2,6,3
part,because,1,3,3
past,years,1,3,3
people,with,2,6,3
person,of,1,3,3
police,have,3,9,3
police,officials,1,3,3
police,say,1,3,3
police,the,1,3,3
prevention,and,1,3,3
process,of,1,3,3
rate,of,1,3,3
records,the,1,3,3
resulted,in,2,6,3
s,first,1,3,3
s,trust,2,6,3
security,of,1,3,3
seeking,the,1,3,3
she,would,1,3,3
should,have,1,3,3
so,as,1,3,3
state,laws,1,3,3
state,s,3,9,3
state,to,1,3,3
suggested,that,1,3,3
system,that,1,3,3
taking,place,1,3,3
tel,aviv,1,3,3
than,miles,1,3,3
that,any,1,3,3
that,he,5,15,3
that,lead,1,3,3
that,leads,1,3,3
that,was,1,3,3
the,beginning,1,3,3
